NickName,"Oct, 10","Nov, 10","Dec, 10","Jan, 11","Feb, 11","Mar, 11"
Cheese,343,66,99,37,4,105
Alchohol,131,79,232,12,18,49
Bottled Water,1448,410,577,59,165,507
Burger,188,86,103,19,40,73
Capri Sun,32,2,0,0,1,0
Cheese Fries Basket,37,55,59,3,33,65
Cheeseburger Basket,662,274,292,51,93,266
Chicken Nugget Basket,529,106,15,0,0,72
Chicken Tender Basket,395,299,298,61,132,298
Chili Cheese Sandwich,74,6,3,7,16,14
Chips,475,161,149,25,96,162
Coffee/HotTea,63,111,114,50,62,117
Coney,519,30,7,0,0,1
Diet Dr Pepper,83,17,3,0,0,13
Diet Pepsi,205,41,6,0,0,25
Dr Pepper,137,21,1,0,0,18
Fish Basket,59,17,2,0,0,0
Float,113,28,0,0,0,48
French Fries Basket,492,257,276,77,236,524
Funnel Cake Topping,0,31,272,11,0,0
Gatorade,744,237,332,53,94,271
Gourmet Cup,99,100,68,17,57,103
Grilled Chicken Sandwich Basket,238,94,73,12,30,78
Hot Chocolate,18,221,1089,186,37,45
Hot Chocolate Souvenir,0,300,968,32,18,3
Hot Dog Basket,778,279,230,35,106,242
IceCreamCone,1520,397,0,0,0,758
Iced Tea,30,5,0,0,0,1
Icee,566,34,0,0,0,51
Krazy Kritter,359,389,274,83,218,367
Land Shark,15,3,20,1,0,0
Medium Drink,1307,422,480,82,172,408
Milk,32,74,157,26,62,132
Mountain Dew,186,22,4,0,0,27
Nacho,134,30,28,8,2,43
Pepsi,272,44,6,0,0,35
Pink Lemonade,200,31,4,0,0,18
Red River Hog,21,24,38,1,3,16
Salad,41,50,56,7,26,48
Sandwich Basket,188,212,180,41,97,181
Shinerboch,10,12,9,0,1,6
Siberian Chill,42,33,1,0,0,0
Sierra Mist,154,29,8,0,0,10
Small Drink,1126,502,481,92,195,374
Small/Large Fry,151,69,46,7,10,46
Snack,881,480,694,110,211,785
Soft Pretzel,680,292,563,53,11,223
Soup,0,3,9,7,6,20
Souvenir Drink,2002,458,361,54,221,516
Special,8,14,3,8,11,20
Stella,15,11,21,0,0,14
Veggie Burger Basket,32,39,48,16,22,43
Walking 3-Way,119,11,5,0,0,1
Whole/Slice Cheese,1308,597,854,137,279,582
Whole/Slice Pepp,1145,436,732,115,215,457
